Метод,Образец,Условныеединицы,ЕдиницыСИ,min Условныеединицы,max Условныеединицы,min ЕдиницыСИ,max ЕдиницыСИ
Антимитохондриальные М2 антитела,Сыворотка,"<0,1 единиц",—,"0,1","0,1",0.0,0.0
Антинейтрофильные цитоплазматические антитела (АНЦА),Сыворотка,Негативный,—,0.0,0.0,0.0,0.0
"определение антинуклеарных антител (АНА),",Сыворотка,"≤ 1,0 единиц",—,"1,0","1,0",0.0,0.0
Антитела к гладкой мускулатуре (АГМА),Сыворотка,≤ 1:80,—,1,1,0.0,0.0
Антистрептолизин-О,Сыворотка,<150 единиц,—,150,150,0.0,0.0
Антитиреоидные микросомальные антитела,Сыворотка,< 1:100,—,1,1,0.0,0.0
α1Антитрипсин (ААТ),Сыворотка,83-199 мг/дл,"15,3–36,6 мкмоль/л",83,199,"15,3","15,3"
"A-I, женщины",Сыворотка,98-210 мг/дл,"0,98-2,1 г/л",98,210,"0,98","2,1"
"A-I, мужчины",Сыворотка,88-180 мг/дл,"0,88-1,8 г/л",88,180,"0,88","1,8"
"B-100, женщины",Сыворотка,44-148 мг/дл,"0,44-1,48 г/",44,148,"0,44","1,48"
"B-100, мужчины",Сыворотка,55-151 мг/дл,"0,55-1,51 г/",55,151,"0,55","1,51"
Бикарбонат,Сыворотка,23-28 мЭкв/л,23-28 ммоль/л,23,28,23,28
Прямой,Сыворотка,"0-0,3 мг/дл","0–5,1 мкмоль/л",0,"0,3",0,0
Общий,Сыворотка,"0,3-1,2 мг/дл","5,1–20,5 мкмоль/л","0,3","1,2","5,1","5,1"
"Плазма, женщины*",Кровь,28-43 мл/кг веса тела,"0,028-0,043 л/кг веса тела",28,43,"0,028","0,043"
"Плазма, мужчины*",Кровь,25-44 мл/кг веса тела,"0,025-0,044 л/кг веса тела",25,44,"0,025","0,044"
"Эритроциты, женщины*",Кровь,20-30 мл/кг веса тела,"0,02-0,03 л кг веса тел",20,30,"0,02","0,03"
"Эритроциты, мужчины*",Кровь,25-35 мл/кг веса тела,"0,025-0,035 л/кг веса тела",25,35,"0,025","0,035"
Натрийуретический пептид мозга (В-тип) (МНП),Плазма,<100 пг/мл,—,100,100,0.0,0.0
Женщины,Сыворотка,<8 мкг/мл,—,8,8,0.0,0.0
Мужчины,Сыворотка,<16 пг/мл,—,16,16,0.0,0.0
Кальций,Сыворотка,"9-10,5 мг/дл","2,2-2,6 ммоль/л",9,"10,5","2,2","2,6"
CA 125,Сыворотка,<35 Ед/мл,—,35,35,0.0,0.0
CA 15-3,Сыворотка,<30 Ед/мл,—,30,30,0.0,0.0
Содержание углекислого газа (CO2),Сыворотка,23-28 мЭкв/л,23-28 ммоль/л,23,28,23,28
Парциальное давление углекислого газа (РСО2),Кровь,35-45 мм рт. ст.,—,35,45,0.0,0.0
Карбоксигемоглобин,Плазма,"0,5–5%",—,"0,5","0,5",0.0,0.0
Раково-эмбриональный антиген (СЕА),Сыворотка,<2 нг/мл,< 2 мкг/л,2,2,2,2
Каротин,Сыворотка,75–300 мкг/л,"1,4– 5,6мкмоль л",75,75,"1,4","1,4"
соотношение CD4/CD8,Кровь,1–4,—,1,1,0.0,0.0
Показатель числа CD4+ Т- лимфоцитов,Кровь,640–1175/мкл,"0,64-1,18 х 109/л",640,640,"0,64","1,18"
Показатель числа CD8+ Т- лимфоцитов,Кровь,335–875/мкл,"0,34-0,88 х 109/л",335,335,"0,34","0,88"
Церулоплазмин,Сыворотка,25-43 мг/дл,250-430 мг л,25,43,250,430
Хлор,Сыворотка,98-106 мЭкв/л,98-106 ммоль/л,98,106,98,106
Женщины,Кровь,0-20 мм/ч,0-20 мм/ч,0,20,0,20
Мужчины,Кровь,0-15 мм/ч,0-20 мм/ч,0,15,0,20
Эритропоэтин,Сыворотка,"4,0–18,5 м единиц/мл","4,0–18,5 Ед л","4,0","4,0","4,0","4,0"
1-10 дни менструального цикла,Сыворотка,14-27 пг/мл,50-100 пмоль/л,14,27,50,100
11-20 дни менструального цикла,Сыворотка,14-54 пг/мл,50-200 пмоль/л,14,54,50,200
21-30 дни менструального цикла,Сыворотка,19-40 пг/мл,70-150 пмоль/л,19,40,70,150
"Эстрадиол, мужчины",Сыворотка,10-30 пг/мл,37-110 пмоль/л,10,30,37,110
Женщины,Сыворотка,30–200 нг/мл,30–200 мкг л,30,30,30,30
Мужчины,Сыворотка,30–300 нг/мл,30–300 мг/,30,30,30,30
α-фетопротеин (АФП),Сыворотка,0-20 нг/дл,0-20 пг/л,0,20,0,20
Фибриноген,Плазма,150-350 мг/дл,"1,5-3,5 г/л",150,350,"1,5","3,5"
Количество эритроцитов,Кровь,160-855 нг/мл,362-1937 нмоль/л,160,855,362,1937
Сыворотка,Сыворотка,"2,5-20 нг/мл","5,7-45,3 нмоль/л","2,5",20,"5,7","45,3"
Фолликулярная или лютеиновая фаза,Сыворотка,5-20 мЕд/мл,5-20 Ед/л,5,20,5,20
Пик середины цикла,Сыворотка,30-50 мЕд/мл,30-50 Ед/л,30,50,30,50
Постменопауза,Сыворотка,> 35 мЕд/мл,> 35 Ед/л,35,35,35,35
"фолликулостимулирующий гормон (ФСГ), взрослые мужчины",Сыворотка,5-15 мЕд/мл,5-15 Ед/л,5,15,5,15
Уровней фруктозамина,Плазма,200-285 мкмоль/л,—,200,285,0.0,0.0
гамма- глютамилтранспептидаза (ГГТП),Сыворотка,8-78 Ед/л,—,8,78,0.0,0.0
Гастрин,Сыворотка,0-180 пг/мл,0-180 нг/л,0,180,0,180
Глобулины:,Сыворотка,"2,5-3,5 г/дл",25-35 г/л,"2,5","3,5",25,35
Альфа-1-глобулины,Сыворотка,"0,2-0,4 г/дл",2-4 г/л,"0,2","0,4",2,4
Альфа-2-глобулины,Сыворотка,"0,5-0,9 г/дл",5-9 г/л,"0,5","0,9",5,9
Женщины,Плазма,"0,40-1,89 мг/л",3–14 мкмоль/л,"0,40","1,89",3,3
Мужчины,Плазма,"0,54-2,16 мг/л",4–16 мкмоль/л,"0,54","2,16",4,4
"Хорионический гонадотропин человека (ХГЧ), количественный",Сыворотка,< 5 м единиц/мл,—,5,5,0.0,0.0
IgA,Сыворотка,70-300 мг/дл,"0,7-3,0 г/л",70,300,"0,7","3,0"
IgD,Сыворотка,<8 мг/дл,<80 мг/л,8,8,80,80
IgE,Сыворотка,"0,01-0,04 мг/дл","0,1-0,4 мг/","0,01","0,04","0,1","0,4"
IgG,Сыворотка,640-1430 мг/дл,"6,4-14,3 г/л",640,1430,"6,4","14,3"
IgG1,Сыворотка,280-1020 мг/дл,"2,8-10,2 г/л",280,1020,"2,8","10,2"
IgG2,Сыворотка,60-790 мг/дл,"0,6-7,9 г/л",60,790,"0,6","7,9"
IgG3,Сыворотка,14-240 мг/дл,"0,14-2,4 г/л",14,240,"0,14","2,4"
IgG4,Сыворотка,11-330 мг/дл,"0,11-3,3 г/л",11,330,"0,11","3,3"
IgM,Сыворотка,20-140 мг/дл,"0,2-1,4 г/л",20,140,"0,2","1,4"
Тест на переносимость лактозы,Плазма,> 15 мг/дл увеличение в плазме уровня глюкозы,"> 0,83 ммоль/л увеличени в плазме уровня глюкозы",15,15,"0,83","0,83"
Свинец,Кровь,< 40 мкг/дл,"< 1,9 мкмоль/л",40,40,"1,9","1,9"
Щелочная фосфатаза лейкоцитов (ЩФЛ),Мазок периферической крови,13-130/100/ сегментоядерные (СЯН) и палочкоядерные лейкоциты,—,13,130,0.0,0.0
Липаза,Сыворотка,<95 Ед/л,"< 1,58 мккат/л",95,95,"1,58","1,58"
Липопротеин (а) [Лп (а)],Сыворотка,≤ 30 мг/дл,"< 1,1 мкмоль/л",30,30,"1,1","1,1"
Фолликулярная или лютеиновая фаза,Сыворотка,5-22 мЕд/мл,5-22 Ед/л,5,22,5,22
Пик середины цикла,Сыворотка,30-250 мЕд/мл,30-250 Ед/,30,250,30,250
Постменопауза,Сыворотка,> 30 мЕд/мл,> 30 Ед/л,30,30,30,30
"Лютеинизирующий гормон, мужчины",Сыворотка,3-15 мЕд/мл,3-15 Ед/л,3,15,3,15
Магний,Сыворотка,"1,5-2,4 мг/дл","0,62-0,99 ммоль/л","1,5","2,4","0,62","0,99"
N-концевой пропептид натрийуретического гормона (типа В),Плазма,<125 пг/мл,—,125,125,0.0,0.0
5'-Нуклеотидаза (5'НТ),Сыворотка,"4-11,5 Ед/л",—,4,"11,5",0.0,0.0
Осмоляльность,Плазма,275-295 мосмоль/ кг H2О,275-295 мОсмоль/к H2О,275,295,275,295
Определение осмотической резистентности,Кровь,"Резистентность повышена в случае наступления гемолиза при > 0,5% раствора хлорида натрия Резистентность понижена в случае неполного гемолиза при > 0,3% раствора натрия хлорида",—,"0,5","0,5",0.0,0.0
Парциальное давление кислорода (PO2),Кровь,80-100 мм рт. ст.,—,80,100,0.0,0.0
Паратгормон (РТГ),Сыворотка,10-65 пг/мл,10-65 нг/л,10,65,10,65
Паратиреоидный гормон- родственный пептид (PTHrP),Плазма,"<2,0 пмоль/л",—,"2,0","2,0",0.0,0.0
Активированное частичное тромбопластиновое время (АЧТВ),Плазма,25-35 секунд,—,25,35,0.0,0.0
рН,Кровь,"7,38–7,44",—,"7,38","7,38",0.0,0.0
Фосфор неорганический,Сыворотка,"3,0-4,5 мг/дл","0,97-1,45 ммоль/л","3,0","4,5","0,97","1,45"
Количество тромбоцитов,Кровь,150–350 х 103/ мкл,150-350 х 109/л,150,150,150,350
"Продолжительность жизни тромбоцитов, используя хром-51 (51Cr)",—,8-12 дней,—,8,12,0.0,0.0
Порфирины,Плазма,"≤ 1,0 мкг/дл",—,"1,0","1,0",0.0,0.0
Калий,Сыворотка,"3,5-5 мЭкв/л","3,5-5 ммоль/л","3,5",5,"3,5",5
Преальбумин (транстиретин),Сыворотка,18-45 мг/дл,—,18,45,0.0,0.0
Фолликулярная фаза,Сыворотка,<1 нг/мл,"<0,03 нмоль/л",1,1,"0,03","0,03"
Лютеиновая фаза,Сыворотка,3-30 нг/мл,"0,1-0,95 нмоль/л",3,30,"0,1","0,95"
Женщины (небеременные),Сыворотка,< 20 мкг/л,<870 пмоль/л,20,20,870,870
Мужчины,Сыворотка,< 15 мкг/л,<652 пмоль/л,15,15,652,652
Простат-специфический антиген общий (ПСА- общий),Сыворотка,0-4 нг/мл,—,0,4,0.0,0.0
Диета с высоким содержанием натрия,Плазма,"0,6 (или ниже)– 4,3 нг/мл/ч",—,"0,6","0,6",0.0,0.0
Процент,Кровь,"0,5–1,5%",—,"0,5","0,5",0.0,0.0
Абсолютные,Кровь,23–90 х 103/мкл,23-90 х 109 л,23,23,23,90
"Ревматоидный фактор (РФ), с помощью нефелометрии",Сыворотка,<40 Ед/мл,<40 кЕд/л,40,40,40,40
Натрий,Сыворотка,136-145 мЭкв/л,136-145 ммоль/л,136,145,136,145
Женщины,Сыворотка,20-75 нг/дл,"0,7-2,6 нмоль/л",20,75,"0,7","2,6"
Мужчины,Сыворотка,300-1200 нг/дл,10-42 нмоль/л,300,1200,10,42
Тромбиновое время,Плазма,"18,5-24 секунд",—,"18,5",24,0.0,0.0
Поглощение клетками щитовидной железы изотопа йод-123 (123I),—,5–30% введенной дозы за 24 ч,—,5,5,0.0,0.0
Тиреотропный гормон (ТТГ),Сыворотка,"0,5–5,0 мкМЕ/мл","0,5-5,0 м единиц/л","0,5","0,5","0,5","5,0"
Лейкоцит,Кровь,<20 мг/дл,< 1136 мкмоль/л,20,20,1136,1136
Общий,Кровь,"0,4-1,5 мг/дл",23–85 мкмоль/л,"0,4","1,5",23,23
"1,25- дигидроксихолекальциферол (кальцитриол)",Сыворотка,25-65 пг/мл,65-169 пмоль/л,25,65,65,169
25- гидроксихолекальциферол,Сыворотка,15-80 нг/мл,37-200 нмоль/л,15,80,37,200
Уровень лейкоцитов,Кровь,"4,5–11 х 103 клеток/мкл","4,5-11 х 10 клеток/л","4,5","4,5","4,5",11
Цинк,Сыворотка,66–110 мкг/дл,"10,1–16,8 мкмоль/л",66,66,"10,1","10,1"
