Метод,Образец,Условные единицы,Единицы СИ
Щелочная фосфатаза лейкоцитов (ЩФЛ),Мазок периферической крови,13-130/100/ сегментоядерные (СЯН) и палочкоядерные лейкоциты,—
Липаза,Сыворотка,<95 Ед/л,"< 1,58 мккат/л"
Липопротеин (а) [Лп (а)],Сыворотка,≤ 30 мг/дл,"< 1,1 мкмоль/л"
Фолликулярная или лютеиновая фаза,Сыворотка,5-22 мЕд/мл,5-22 Ед/л
Пик середины цикла,Сыворотка,30-250 мЕд/мл,30-250 Ед/
Постменопауза,Сыворотка,> 30 мЕд/мл,> 30 Ед/л
"Лютеинизирующий гормон, мужчины",Сыворотка,3-15 мЕд/мл,3-15 Ед/л
Магний,Сыворотка,"1,5-2,4 мг/дл","0,62-0,99 ммоль/л"
N-концевой пропептид натрийуретического гормона (типа В),Плазма,<125 пг/мл,—
5'-Нуклеотидаза (5'НТ),Сыворотка,"4-11,5 Ед/л",—
Осмоляльность,Плазма,275-295 мосмоль/ кг H2О,275-295 мОсмоль/к H2О
Определение осмотической резистентности,Кровь,"Резистентность повышена в случае наступления гемолиза при > 0,5% раствора хлорида натрия Резистентность понижена в случае неполного гемолиза при > 0,3% раствора натрия хлорида",—
Парциальное давление кислорода (PO2),Кровь,80-100 мм рт. ст.,—
Паратгормон (РТГ),Сыворотка,10-65 пг/мл,10-65 нг/л
Паратиреоидный гормон- родственный пептид (PTHrP),Плазма,"<2,0 пмоль/л",—
Активированное частичное тромбопластиновое время (АЧТВ),Плазма,25-35 секунд,—
рН,Кровь,"7,38–7,44",—
Фосфор неорганический,Сыворотка,"3,0-4,5 мг/дл","0,97-1,45 ммоль/л"
Количество тромбоцитов,Кровь,150–350 х 103/ мкл,150-350 х 109/л
"Продолжительность жизни тромбоцитов, используя хром-51 (51Cr)",—,8-12 дней,—
Порфирины,Плазма,"≤ 1,0 мкг/дл",—
Калий,Сыворотка,"3,5-5 мЭкв/л","3,5-5 ммоль/л"
Преальбумин (транстиретин),Сыворотка,18-45 мг/дл,—
Фолликулярная фаза,Сыворотка,<1 нг/мл,"<0,03 нмоль/л"
Лютеиновая фаза,Сыворотка,3-30 нг/мл,"0,1-0,95 нмоль/л"
Женщины (небеременные),Сыворотка,< 20 мкг/л,<870 пмоль/л
Мужчины,Сыворотка,< 15 мкг/л,<652 пмоль/л
Простат-специфический антиген общий (ПСА- общий),Сыворотка,0-4 нг/мл,—
Диета с высоким содержанием натрия,Плазма,"0,6 (или ниже)– 4,3 нг/мл/ч",—
Процент,Кровь,"0,5–1,5%",—
Абсолютные,Кровь,23–90 х 103/мкл,23-90 х 109 л
"Ревматоидный фактор (РФ), с помощью нефелометрии",Сыворотка,<40 Ед/мл,<40 кЕд/л
Натрий,Сыворотка,136-145 мЭкв/л,136-145 ммоль/л
Женщины,Сыворотка,20-75 нг/дл,"0,7-2,6 нмоль/л"
Мужчины,Сыворотка,300-1200 нг/дл,10-42 нмоль/л
Тромбиновое время,Плазма,"18,5-24 секунд",—
Поглощение клетками щитовидной железы изотопа йод-123 (123I),—,5–30% введенной дозы за 24 ч,—
Тиреотропный гормон (ТТГ),Сыворотка,"0,5–5,0 мкМЕ/мл","0,5-5,0 м единиц/л"
Лейкоцит,Кровь,<20 мг/дл,< 1136 мкмоль/л
Общий,Кровь,"0,4-1,5 мг/дл",23–85 мкмоль/л
"1,25- дигидроксихолекальциферол (кальцитриол)",Сыворотка,25-65 пг/мл,65-169 пмоль/л
25- гидроксихолекальциферол,Сыворотка,15-80 нг/мл,37-200 нмоль/л
Уровень лейкоцитов,Кровь,"4,5–11 х 103 клеток/мкл","4,5-11 х 10 клеток/л"
Цинк,Сыворотка,66–110 мкг/дл,"10,1–16,8 мкмоль/л"
